A,B,C,D,E,F
185.787,229.163,192.984,183.436,191.063,218.812
289.238,242.541,207.448,183.378,164.777,198.671
226.085,215.37,189.589,198.822,164.259,221.174
251.582,215.493,217.991,237.777,182.896,225.728
183.786,219.872,281.571,200.353,159.759,209.568
162.619,217.36,195.54,169.73,181,201.5
200.7,221.74,190.85,187.35,166.3,187.6
235.8877,205.98,190.88,196.59,167.81,216.14
198.64,184.65,218.43,216.96,162,193
185.7,213.69,213.85,189.85,204.24,209.57
200.66,260.55,202.59,196.02,163.67,200.67
232.65,202,216.049,171.134,172.972,203.228
209.22,206.49,202.65,201.98,192.75,202.77
191.77,189.77,217.396,183.09,150.27,217.59
191,225.6,215.9,183.4,192.9,223.3
189.4,234.9,198.9,182.3,180.4,206.1
228.9,202.17,183.89,189.7,173.45,200
203.5,192.5,212.7,208.4,186.4,212.5
190.4,222.67,227.1,193.17,181.5,212.84
